T_Name|T_UpperStateQuantumNumbers|T_LowerStateQuantumNumbers|T_Frequency|T_EinsteinA|T_EnergyLower|T_UpperStateDegeneracy
CH3C9N;v=0;|ElecStateLabel = X; J = 4; K = 0; |ElecStateLabel = X; J = 3; K = 0; |1669.8958|1.01771e-09|0.083553|18
l-C7H2;v=0;|ElecStateLabel = X; J = 1; Ka = 0; Kc = 1; |ElecStateLabel = X; J = 0; Ka = 0; Kc = 0; |1701.2043|1.13251e-09|0.0|3
HC13N;v=0;|ElecStateLabel = X; J = 9; |ElecStateLabel = X; J = 8; |1925.5062|1.37012e-09|0.256912|19
HC11N;v=0;#1|ElecStateLabel = X; J = 6; |ElecStateLabel = X; J = 5; |2028.7551|1.72429e-09|0.16918|13
HC11N;v=0;|ElecStateLabel = X; J = 6; |ElecStateLabel = X; J = 5; |2028.7551|1.34215e-09|0.16918|13
C9H;v=0;|ElecStateLabel = X; S = 0.5; l = 1; J = 2.5; N = 3; F_H = 3; parity = +; kronigParity = e; |ElecStateLabel = X; S = 0.5; l = 1; J = 1.5; N = 2; F_H = 2; parity = -; kronigParity = e; |2064.5436|2.00803e-09|0.041443|7
C9H;v=0;|ElecStateLabel = X; S = 0.5; l = 1; J = 2.5; N = 3; F_H = 2; parity = +; kronigParity = e; |ElecStateLabel = X; S = 0.5; l = 1; J = 1.5; N = 2; F_H = 1; parity = -; kronigParity = e; |2065.0666|1.80763e-09|0.041443|5
C9H;v=0;|ElecStateLabel = X; S = 0.5; l = 1; J = 2.5; N = 3; F_H = 3; parity = -; kronigParity = f; |ElecStateLabel = X; S = 0.5; l = 1; J = 1.5; N = 2; F_H = 2; parity = +; kronigParity = f; |2065.4019|2.01026e-09|0.041535|7
C9H;v=0;|ElecStateLabel = X; S = 0.5; l = 1; J = 2.5; N = 3; F_H = 2; parity = -; kronigParity = f; |ElecStateLabel = X; S = 0.5; l = 1; J = 1.5; N = 2; F_H = 1; parity = +; kronigParity = f; |2066.0376|1.80973e-09|0.041429|5
C9H;v=0;|ElecStateLabel = X; S = 0.5; l = 1; J = 2.5; N = 2; F_H = 2; parity = -; kronigParity = f; |ElecStateLabel = X; S = 0.5; l = 1; J = 1.5; N = 1; F_H = 1; parity = -; kronigParity = e; |2067.2154|1.20917e-09|27.53298|5
C9H;v=0;|ElecStateLabel = X; S = 0.5; l = 1; J = 2.5; N = 2; F_H = 3; parity = +; kronigParity = e; |ElecStateLabel = X; S = 0.5; l = 1; J = 1.5; N = 1; F_H = 2; parity = -; kronigParity = e; |2067.224|1.34367e-09|27.53298|7
C9H;v=0;|ElecStateLabel = X; S = 0.5; l = 1; J = 2.5; N = 2; F_H = 3; parity = -; kronigParity = f; |ElecStateLabel = X; S = 0.5; l = 1; J = 1.5; N = 1; F_H = 2; parity = +; kronigParity = f; |2067.2241|1.34367e-09|27.53298|7
CH3C9N;v=0;|ElecStateLabel = X; J = 5; K = 3; |ElecStateLabel = X; J = 4; K = 3; |2087.3208|1.30101e-09|47.531486|44
CH3C9N;v=0;|ElecStateLabel = X; J = 5; K = 2; |ElecStateLabel = X; J = 4; K = 2; |2087.3479|1.70759e-09|21.204357|22
CH3C9N;v=0;|ElecStateLabel = X; J = 5; K = 1; |ElecStateLabel = X; J = 4; K = 1; |2087.3642|1.95156e-09|5.405813|22
CH3C9N;v=0;|ElecStateLabel = X; J = 5; K = 0; |ElecStateLabel = X; J = 4; K = 0; |2087.3696|2.03289e-09|0.139254|22
C10H;v=0;|ElecStateLabel = X; S = 0.5; J = 3.5; N = 4; parity = -; kronigParity = e; |ElecStateLabel = X; S = 0.5; J = 2.5; N = 3; parity = +; kronigParity = e; |2108.2452|2.62959e-09|23.419669|8
C10H;v=0;|ElecStateLabel = X; S = 0.5; J = 3.5; N = 3; parity = -; kronigParity = e; |ElecStateLabel = X; S = 0.5; J = 2.5; N = 2; parity = +; kronigParity = e; |2108.8101|2.19297e-09|0.050245|8
C10H;v=0;|ElecStateLabel = X; S = 0.5; J = 3.5; N = 3; parity = +; kronigParity = f; |ElecStateLabel = X; S = 0.5; J = 2.5; N = 2; parity = -; kronigParity = f; |2108.8108|2.19297e-09|0.050245|8
C10H;v=0;|ElecStateLabel = X; S = 0.5; J = 3.5; N = 4; parity = +; kronigParity = f; |ElecStateLabel = X; S = 0.5; J = 2.5; N = 3; parity = -; kronigParity = f; |2113.0059|2.64709e-09|23.420145|8
HC13N;v=0;|ElecStateLabel = X; J = 10; |ElecStateLabel = X; J = 9; |2139.4513|1.88969e-09|0.32114|21
DCCCCCCCN;v=0;|ElecStateLabel = X; J = 2; |ElecStateLabel = X; J = 1; |2181.2608|1.12263e-09|0.03638|5
HC-13-CCCCCCN;v=0;|ElecStateLabel = X; J = 2; |ElecStateLabel = X; J = 1; |2206.5758|1.16209e-09|0.036802|5
HC-13-CCCCCCN;v=0;|ElecStateLabel = X; J = 2; F_N = 3; |ElecStateLabel = X; J = 1; F_N = 2; |2206.6677|1.16233e-09|0.036809|7
HCCCCCCCN-15;v=0;|ElecStateLabel = X; J = 2; |ElecStateLabel = X; J = 1; |2209.0134|1.16611e-09|0.036842|5
HCC-13-CCCCCN;v=0;|ElecStateLabel = X; J = 2; |ElecStateLabel = X; J = 1; |2229.3288|1.19851e-09|0.037181|5
HCC-13-CCCCCN;v=0;|ElecStateLabel = X; J = 2; F_N = 3; |ElecStateLabel = X; J = 1; F_N = 2; |2229.4207|1.19848e-09|0.037188|7
HCCCCCCC-13-N;v=0;|ElecStateLabel = X; J = 2; |ElecStateLabel = X; J = 1; |2230.1574|1.19988e-09|0.037195|5
HCCCCCCC-13-N;v=0;hyp1|ElecStateLabel = X; J = 2; F_N = 3; |ElecStateLabel = X; J = 1; F_N = 2; |2230.2493|1.19985e-09|0.037202|7
HCCC-13-CCCCN;v=0;|ElecStateLabel = X; J = 2; |ElecStateLabel = X; J = 1; |2246.7739|1.22671e-09|0.037472|5
HCCC-13-CCCCN;v=0;|ElecStateLabel = X; J = 2; F_N = 3; |ElecStateLabel = X; J = 1; F_N = 2; |2246.8658|1.22696e-09|0.037479|7
HCCCCCC-13-CN;v=0;|ElecStateLabel = X; J = 2; |ElecStateLabel = X; J = 1; |2247.3084|1.22783e-09|0.037481|5
HCCCCCC-13-CN;v=0;hyp1|ElecStateLabel = X; J = 2; F_N = 3; |ElecStateLabel = X; J = 1; F_N = 2; |2247.4003|1.2278e-09|0.037488|7
CH3C7N;v=0;|ElecStateLabel = X; J = 3; K = 2; |ElecStateLabel = X; J = 2; K = 2; |2248.2938|1.13383e-09|21.11795|14
CH3C7N;v=0;|ElecStateLabel = X; J = 3; K = 1; |ElecStateLabel = X; J = 2; K = 1; |2248.319|1.81418e-09|5.336018|14
CH3C7N;v=0;|ElecStateLabel = X; J = 3; K = 0; |ElecStateLabel = X; J = 2; K = 0; |2248.3274|2.04092e-09|0.074996|14
HCCCC-13-CCCN;v=0;|ElecStateLabel = X; J = 2; |ElecStateLabel = X; J = 1; |2254.7311|1.23977e-09|0.037605|5
HCCCC-13-CCCN;v=0;|ElecStateLabel = X; J = 2; F_N = 3; |ElecStateLabel = X; J = 1; F_N = 2; |2254.823|1.24002e-09|0.037612|7
HCCCCC-13-CCN;v=0;|ElecStateLabel = X; J = 2; |ElecStateLabel = X; J = 1; |2254.9293|1.24034e-09|0.037608|5
HCCCCC-13-CCN;v=0;|ElecStateLabel = X; J = 2; F_N = 3; |ElecStateLabel = X; J = 1; F_N = 2; |2255.0212|1.24031e-09|0.037615|7
HCCCCCCCN;v=0;#1|ElecStateLabel = X; J = 2; F_N = 2; |ElecStateLabel = X; J = 1; F_N = 1; |2256.003|1.00229e-09|0.037592|5
HCCCCCCCN;v=0;|ElecStateLabel = X; v15 = 0; J = 2; |ElecStateLabel = X; v15 = 0; J = 1; |2256.0044|1.24205e-09|0.037626|5
HCCCCCCCN;v=0;#1|ElecStateLabel = X; J = 2; F_N = 3; |ElecStateLabel = X; J = 1; F_N = 2; |2256.0914|1.33654e-09|0.037633|7
HCCCCCCCN;v15=2;|ElecStateLabel = X; v15 = 2; l15 = 0; J = 2; kronigParity = e; |ElecStateLabel = X; v15 = 2; l15 = 0; J = 1; kronigParity = e; |2263.1027|1.25374e-09|124.0569|5
C7O;v=0;|ElecStateLabel = X; J = 2; |ElecStateLabel = X; J = 1; |2291.7639|1.09332e-09|0.038223|5
HC9N;v=0;#1|ElecStateLabel = X; J = 4; |ElecStateLabel = X; J = 3; |2324.1463|2.03657e-09|0.116288|9
HC9N;v=0;|ElecStateLabel = X; J = 4; |ElecStateLabel = X; J = 3; |2324.1463|1.75607e-09|0.116288|9
C8H-;v=0;|ElecStateLabel = X; J = 2; |ElecStateLabel = X; J = 1; |2333.3604|6.39801e-09|0.038916|5
C8O;v=0;|ElecStateLabel = X; S = 1; J = 3; N = 4; |ElecStateLabel = X; S = 1; J = 2; N = 3; |2346.8865|1.38127e-09|0.07828|7
C9O;v=0;|ElecStateLabel = X; J = 4; |ElecStateLabel = X; J = 3; |2349.8886|1.97286e-09|0.117576|9
HC13N;v=0;|ElecStateLabel = X; J = 11; |ElecStateLabel = X; J = 10; |2353.3964|2.52598e-09|0.392504|23
HC11N;v=0;#1|ElecStateLabel = X; J = 7; |ElecStateLabel = X; J = 6; |2366.8809|2.76861e-09|0.236852|15
HC11N;v=0;|ElecStateLabel = X; J = 7; |ElecStateLabel = X; J = 6; |2366.8809|2.15503e-09|0.236852|15
C8O;v=0;|ElecStateLabel = X; S = 1; J = 3; N = 3; |ElecStateLabel = X; S = 1; J = 2; N = 2; |2403.8561|1.31972e-09|2.328081|7
KCN,KNC;v=0;|ElecStateLabel = X; v1 = 0; v2 = 0; v3 = 0; J = 3; Ka = 1; Kc = 2; |ElecStateLabel = X; v1 = 0; v2 = 0; v3 = 0; J = 3; Ka = 1; Kc = 3; |2423.0|1.36879e-09|3.641253|7
SiC6;v=0;|ElecStateLabel = X; J = 2; |ElecStateLabel = X; J = 1; |2445.0039|4.63197e-09|0.040778|5
C8O;v=0;|ElecStateLabel = X; S = 1; J = 3; N = 2; |ElecStateLabel = X; S = 1; J = 2; N = 1; |2460.8096|1.41598e-09|2.329984|7
C7S;v=0;|ElecStateLabel = X; J = 3; |ElecStateLabel = X; J = 2; |2486.568|2.94847e-09|0.082943|7
CH3C9N;v=0;|ElecStateLabel = X; J = 6; K = 5; |ElecStateLabel = X; J = 5; K = 5; |2504.6805|1.08964e-09|131.816206|26
CH3C9N;v=0;|ElecStateLabel = X; J = 6; K = 4; |ElecStateLabel = X; J = 5; K = 4; |2504.7392|1.98127e-09|84.451163|26
CH3C9N;v=0;|ElecStateLabel = X; J = 6; K = 3; |ElecStateLabel = X; J = 5; K = 3; |2504.7848|2.67529e-09|47.601112|52
CH3C9N;v=0;|ElecStateLabel = X; J = 6; K = 2; |ElecStateLabel = X; J = 5; K = 2; |2504.8174|3.17083e-09|21.273983|26
CH3C9N;v=0;|ElecStateLabel = X; J = 6; K = 1; |ElecStateLabel = X; J = 5; K = 1; |2504.8369|3.46794e-09|5.47544|26
CH3C9N;v=0;|ElecStateLabel = X; J = 6; K = 0; |ElecStateLabel = X; J = 5; K = 0; |2504.8435|3.567e-09|0.208881|26
DCCCCCN;v=0;#1|ElecStateLabel = X; J = 1; |ElecStateLabel = X; J = 0; |2542.1127|1.19461e-09|0.0|3
DCCCCCN;v=0;|ElecStateLabel = X; J = 1; |ElecStateLabel = X; J = 0; |2542.1156|1.19517e-09|0.0|3
l-HC4N;v=0;|ElecStateLabel = X; S = 1; J = 1; N = 0; F1 = 2; F = 2.5; |ElecStateLabel = X; S = 1; J = 0; N = 1; F1 = 1; F = 1.5; |2566.1168|1.12002e-09|2.0e-06|6
HC13N;v=0;|ElecStateLabel = X; J = 12; |ElecStateLabel = X; J = 11; |2567.3414|3.29138e-09|0.471005|25
l-HC4N;v=0;|ElecStateLabel = X; S = 1; J = 1; N = 0; |ElecStateLabel = X; S = 1; J = 0; N = 1; |2570.0105|1.12503e-09|3.0e-06|18
HC-13-CCCCN;v=0;|ElecStateLabel = X; J = 1; |ElecStateLabel = X; J = 0; |2593.3523|1.26891e-09|0.0|3
HC-13-CCCCN;v=0;#1|ElecStateLabel = X; J = 1; |ElecStateLabel = X; J = 0; |2593.3533|1.26822e-09|0.0|3
HCCCCCN-15;v=0;#1|ElecStateLabel = X; J = 1; |ElecStateLabel = X; J = 0; |2597.2783|1.27424e-09|0.0|3
HCCCCCN-15;v=0;|ElecStateLabel = X; J = 1; |ElecStateLabel = X; J = 0; |2597.2799|1.27448e-09|0.0|3
C7H;v=0;|ElecStateLabel = X; S = 0.5; l = 1; J = 1.5; N = 2; F = 2; parity = -; kronigParity = e; |ElecStateLabel = X; S = 0.5; l = 1; J = 0.5; N = 1; F = 1; parity = +; kronigParity = e; |2621.7624|2.47302e-09|0.000243|5
C7H;v=0;|ElecStateLabel = X; S = 0.5; l = 1; J = 1.5; N = 2; F = 2; parity = +; kronigParity = f; |ElecStateLabel = X; S = 0.5; l = 1; J = 0.5; N = 1; F = 1; parity = -; kronigParity = f; |2623.7672|2.47777e-09|0.000364|5
C7H;v=0;|ElecStateLabel = X; S = 0.5; l = 1; J = 1.5; N = 2; F = 1; parity = -; kronigParity = e; |ElecStateLabel = X; S = 0.5; l = 1; J = 0.5; N = 1; F = 0; parity = +; kronigParity = e; |2625.0906|1.65055e-09|0.00015|3
C7H;v=0;|ElecStateLabel = X; S = 0.5; l = 1; J = 1.5; N = 2; F = 1; parity = +; kronigParity = f; |ElecStateLabel = X; S = 0.5; l = 1; J = 0.5; N = 1; F = 0; parity = -; kronigParity = f; |2628.7398|1.65512e-09|0.0|3
HCC-13-CCCN;v=0;#1|ElecStateLabel = X; J = 1; |ElecStateLabel = X; J = 0; |2635.3785|1.331e-09|0.0|3
HCC-13-CCCN;v=0;|ElecStateLabel = X; J = 1; |ElecStateLabel = X; J = 0; |2635.3788|1.33148e-09|0.0|3
HCCCCC-13-N;v=0;#1|ElecStateLabel = X; J = 1; |ElecStateLabel = X; J = 0; |2636.3598|1.33241e-09|0.0|3
HCCCCC-13-N;v=0;|ElecStateLabel = X; J = 1; |ElecStateLabel = X; J = 0; |2636.3612|1.33301e-09|0.0|3
NaO;v=0;|ElecStateLabel = X; Lambda = 1; v = 0; J = 0.5; N = 1; F_Na = 1; kronigParity = None; |ElecStateLabel = X; Lambda = 1; v = 0; J = 0.5; N = 1; F_Na = 2; kronigParity = None; |2641.8513|4.52774e-09|106.7521|3
HCCC-13-CCN;v=0;|ElecStateLabel = X; J = 1; |ElecStateLabel = X; J = 0; |2659.9076|1.3691e-09|0.0|3
HCCC-13-CCN;v=0;#1|ElecStateLabel = X; J = 1; |ElecStateLabel = X; J = 0; |2659.9084|1.36836e-09|0.0|3
HCCCC-13-CN;v=0;#1|ElecStateLabel = X; J = 1; |ElecStateLabel = X; J = 0; |2660.228|1.36916e-09|0.0|3
HCCCC-13-CN;v=0;|ElecStateLabel = X; J = 1; |ElecStateLabel = X; J = 0; |2660.2315|1.36942e-09|0.0|3
HCCCCCN;v=0;#1|ElecStateLabel = X; J = 1; |ElecStateLabel = X; J = 0; |2662.6641|1.37294e-09|0.0|3
HCCCCCN;v=0;|ElecStateLabel = X; J = 1; |ElecStateLabel = X; J = 0; |2662.6653|1.3732e-09|0.0|3
HC5N;v10=1,v11=1;|ElecStateLabel = X; v10 = 1; v11 = 1; l = 0; vibRefl = +; J = 1; |ElecStateLabel = X; v10 = 1; v11 = 1; l = 0; vibRefl = +; J = 0; |2673.1424|1.66521e-09|360.639319|3
HC5N;v10=1,v11=1;|ElecStateLabel = X; v10 = 1; v11 = 1; l = 0; vibRefl = -; J = 1; |ElecStateLabel = X; v10 = 1; v11 = 1; l = 0; vibRefl = -; J = 0; |2673.1477|1.66624e-09|360.959888|3
HCCCCCN;v11=2;|ElecStateLabel = X; v11 = 2; l11 = 0; J = 1; kronigParity = e; |ElecStateLabel = X; v11 = 2; l11 = 0; J = 0; kronigParity = e; |2673.8241|1.3907e-09|213.6011|3
AlC3N;v=0;|ElecStateLabel = X; J = 1; |ElecStateLabel = X; J = 0; |2681.5148|1.14248e-09|0.0|3
HCCCCCN;v11=4;|ElecStateLabel = X; v11 = 4; l11 = 0; J = 1; kronigParity = e; |ElecStateLabel = X; v11 = 4; l11 = 0; J = 0; kronigParity = e; |2685.0477|1.4081e-09|427.2022|3
l-C6H2;v=0;|ElecStateLabel = X; J = 1; Ka = 0; Kc = 1; |ElecStateLabel = X; J = 0; Ka = 0; Kc = 0; |2689.4409|2.90136e-09|0.0|3
NaO;v=0;|ElecStateLabel = X; Lambda = 1; v = 0; J = 0.5; N = 1; F_Na = 2; kronigParity = None; |ElecStateLabel = X; Lambda = 1; v = 0; J = 0.5; N = 1; F_Na = 2; kronigParity = None; |2694.089|2.86839e-09|106.7521|5
HC11N;v=0;#1|ElecStateLabel = X; J = 8; |ElecStateLabel = X; J = 7; |2705.0066|4.16747e-09|0.315803|17
HC11N;v=0;|ElecStateLabel = X; J = 8; |ElecStateLabel = X; J = 7; |2705.0066|3.24388e-09|0.315803|17
C2H3C3N;v=0;|ElecStateLabel = X; J = 1; Ka = 0; Kc = 1; F_N = 1; |ElecStateLabel = X; J = 0; Ka = 0; Kc = 0; F_N = 1; |2705.3512|1.99072e-09|0.0|3
C2H3C3N;v=0;|ElecStateLabel = X; J = 1; Ka = 0; Kc = 1; |ElecStateLabel = X; J = 0; Ka = 0; Kc = 0; |2706.3799|1.99276e-09|0.0|9
C2H3C3N;v=0;|ElecStateLabel = X; J = 1; Ka = 0; Kc = 1; F_N = 2; |ElecStateLabel = X; J = 0; Ka = 0; Kc = 0; F_N = 1; |2706.5858|1.99279e-09|0.0|5
C2H3C3N;v=0;|ElecStateLabel = X; J = 1; Ka = 0; Kc = 1; F_N = 0; |ElecStateLabel = X; J = 0; Ka = 0; Kc = 0; F_N = 1; |2708.4381|1.99631e-09|0.0|1
